mini_date,mini_time,mini_BV,mini_T,mini_DO,mini_Q,,,,,,
11/12/2017,7:57,3.52,29.336,3.492,0.999,,,,,,
11/12/2017,8:07,3.52,29.396,3.781,1,,,,,,
11/12/2017,8:17,3.52,29.439,3.871,1,,,,,,
11/12/2017,8:27,3.52,29.465,3.847,0.999,,,,,,
11/12/2017,8:37,3.52,29.396,3.627,0.999,,,,,,
11/12/2017,8:47,3.52,29.413,3.605,1,,,,,,
11/12/2017,8:57,3.52,29.362,3.624,1,,,,,,
11/12/2017,9:07,3.52,29.336,3.543,0.999,,,,,,
11/12/2017,9:17,3.52,29.327,3.617,1,,,,,,
11/12/2017,9:27,3.52,29.336,3.512,1.001,,,,,,
11/12/2017,9:37,3.52,29.301,3.55,0.999,,,,,,
11/12/2017,9:47,3.52,29.336,3.644,1,,,,,,
11/12/2017,9:57,3.52,29.362,3.948,0.999,,,,,,
11/12/2017,10:07,3.52,29.387,3.787,0.999,,,,,,
11/12/2017,10:17,3.52,29.413,3.783,1,,,,,,
11/12/2017,10:27,3.52,29.379,3.75,0.999,,,,,,
11/12/2017,10:37,3.52,29.405,3.656,1,,,,,,
11/12/2017,10:47,3.52,29.405,3.608,1,,,,,,
11/12/2017,10:57,3.52,29.387,3.538,1.001,,,,,,
11/12/2017,11:07,3.52,29.37,3.573,0.999,,,,,,
11/12/2017,11:17,3.52,29.344,3.462,1,,,,,,
11/12/2017,11:27,3.52,29.319,3.385,1,,,,,,
11/12/2017,11:37,3.52,29.319,3.264,1,,,,,,
11/12/2017,11:47,3.52,29.284,3.284,1.001,,,,,,
11/12/2017,11:57,3.52,29.258,3.275,1.001,,,,,,
11/12/2017,12:07,3.52,29.241,3.452,1,,,,,,
11/12/2017,12:17,3.52,29.241,3.408,1,,,,,,
11/12/2017,12:27,3.52,29.224,3.301,1,,,,,,
11/12/2017,12:37,3.52,29.215,3.212,1,,,,,,
11/12/2017,12:47,3.52,29.19,3.311,1,,,,,,
11/12/2017,12:57,3.52,29.181,3.336,1.001,,,,,,
11/12/2017,13:07,3.52,29.19,3.326,1.001,,,,,,
11/12/2017,13:17,3.52,29.181,3.277,1,,,,,,
11/12/2017,13:27,3.52,29.19,3.131,1,,,,,,
11/12/2017,13:37,3.52,29.198,3.221,1.001,,,,,,
11/12/2017,13:47,3.52,29.181,3.15,1.001,,,,,,
11/12/2017,13:57,3.52,29.164,2.868,1.001,,,,,,
11/12/2017,14:07,3.52,29.164,3.023,1.001,,,,,,
11/12/2017,14:17,3.52,29.155,3.117,1.001,,,,,,
11/12/2017,14:27,3.52,29.155,2.917,1.001,,,,,,
11/12/2017,14:37,3.52,29.164,3.205,1.001,,,,,,
11/12/2017,14:47,3.52,29.164,3.137,1.001,,,,,,
11/12/2017,14:57,3.52,29.172,3.103,1,,,,,,
11/12/2017,15:07,3.52,29.172,3.324,1.001,,,,,,
11/12/2017,15:17,3.52,29.172,3.105,1.001,,,,,,
11/12/2017,15:27,3.52,29.164,3.096,1.002,,,,,,
11/12/2017,15:37,3.52,29.147,3.115,1.002,,,,,,
11/12/2017,15:47,3.52,29.147,3.014,1,,,,,,
11/12/2017,15:57,3.52,29.121,2.922,1,,,,,,
11/12/2017,16:07,3.52,29.138,2.989,1.001,,,,,,
11/12/2017,16:17,3.52,29.121,3.029,1.002,,,,,,
11/12/2017,16:27,3.52,29.129,3.101,1.001,,,,,,
11/12/2017,16:37,3.52,29.087,2.698,1.001,,,,,,
11/12/2017,16:47,3.52,29.104,2.792,1.001,,,,,,
11/12/2017,16:57,3.52,29.112,2.676,1.001,,,,,,
11/12/2017,17:07,3.52,29.104,2.862,1.001,,,,,,
11/12/2017,17:17,3.52,29.095,2.611,1.001,,,,,,
11/12/2017,17:27,3.52,29.121,2.58,1.001,,,,,,
11/12/2017,17:37,3.52,29.104,2.699,1.001,,,,,,
11/12/2017,17:47,3.52,29.112,2.823,1.001,,,,,,
11/12/2017,17:57,3.52,29.095,2.788,1.001,,,,,,
11/12/2017,18:07,3.52,29.112,3.08,1,,,,,,
11/12/2017,18:17,3.52,29.121,3.189,1,,,,,,
11/12/2017,18:27,3.52,29.095,3.052,1.001,,,,,,
11/12/2017,18:37,3.52,29.121,3.152,1,,,,,,
11/12/2017,18:47,3.52,29.112,3.23,1,,,,,,
11/12/2017,18:57,3.52,29.078,3.218,1,,,,,,
11/12/2017,19:07,3.52,29.087,3.084,1.002,,,,,,
11/12/2017,19:17,3.52,29.104,3.101,1.001,,,,,,
11/12/2017,19:27,3.52,29.087,3.055,1.001,,,,,,
11/12/2017,19:37,3.52,29.069,3.181,1.001,,,,,,
11/12/2017,19:47,3.52,29.069,3.098,1.001,,,,,,
11/12/2017,19:57,3.52,29.069,3.244,0.999,,,,,,
11/12/2017,20:07,3.52,29.061,3.25,1.001,,,,,,
11/12/2017,20:17,3.52,29.035,3.252,1,,,,,,
11/12/2017,20:27,3.52,29.035,3.121,1.002,,,,,,
11/12/2017,20:37,3.52,29.035,3.099,1,,,,,,
11/12/2017,20:47,3.52,29.018,3.117,1.001,,,,,,
11/12/2017,20:57,3.52,29.018,2.897,1.001,,,,,,
11/12/2017,21:07,3.52,29.026,3.009,1.002,,,,,,
11/12/2017,21:17,3.52,29.018,2.999,1.001,,,,,,
11/12/2017,21:27,3.52,28.992,2.905,1.001,,,,,,
11/12/2017,21:37,3.52,29.001,2.929,1.002,,,,,,
11/12/2017,21:47,3.52,28.992,2.973,1.001,,,,,,
11/12/2017,21:57,3.52,28.984,3.05,1.001,,,,,,
11/12/2017,22:07,3.52,28.984,3.107,1,,,,,,
11/12/2017,22:17,3.52,28.984,3.128,1,,,,,,
11/12/2017,22:27,3.52,28.984,3.188,1.002,,,,,,
11/12/2017,22:37,3.52,28.966,3.21,1,,,,,,
11/12/2017,22:47,3.52,28.966,3.209,1,,,,,,
11/12/2017,22:57,3.52,28.966,3.277,1.001,,,,,,
11/12/2017,23:07,3.52,28.958,3.156,1,,,,,,
11/12/2017,23:17,3.52,28.975,3.261,1.001,,,,,,
11/12/2017,23:27,3.52,28.984,3.106,1.001,,,,,,
11/12/2017,23:37,3.52,28.966,3.093,1.001,,,,,,
11/12/2017,23:47,3.52,28.966,3.191,1,,,,,,
11/12/2017,23:57,3.52,28.949,3.111,1.001,,,,,,
12/12/2017,0:07,3.52,28.984,3.261,1.002,,,,,,
12/12/2017,0:17,3.52,28.984,3.167,1,,,,,,
12/12/2017,0:27,3.52,28.941,3.093,1.001,,,,,,
12/12/2017,0:37,3.52,28.932,3.26,1,,,,,,
12/12/2017,0:47,3.52,28.941,3.208,1.001,,,,,,
12/12/2017,0:57,3.52,28.915,3.167,1,,,,,,
12/12/2017,1:07,3.52,28.932,3.331,1.001,,,,,,
12/12/2017,1:17,3.52,28.915,3.245,1.001,,,,,,
12/12/2017,1:27,3.52,28.889,3.083,1.001,,,,,,
12/12/2017,1:37,3.52,28.889,3.296,1.001,,,,,,
12/12/2017,1:47,3.52,28.881,3.163,1,,,,,,
12/12/2017,1:57,3.52,28.881,3.37,1.001,,,,,,
12/12/2017,2:07,3.52,28.881,3.321,1.001,,,,,,
12/12/2017,2:17,3.52,28.906,3.453,1,,,,,,
12/12/2017,2:27,3.52,28.941,3.52,1.001,,,,,,
12/12/2017,2:37,3.52,28.941,3.546,1.002,,,,,,
12/12/2017,2:47,3.52,28.949,3.638,1,,,,,,
12/12/2017,2:57,3.52,28.966,3.705,1,,,,,,
12/12/2017,3:07,3.52,28.958,3.698,1.001,,,,,,
12/12/2017,3:17,3.52,28.992,3.763,1.001,,,,,,
12/12/2017,3:27,3.52,29.026,3.637,1,,,,,,
12/12/2017,3:37,3.52,29.044,3.8,1,,,,,,
12/12/2017,3:47,3.52,29.035,3.611,1,,,,,,
12/12/2017,3:57,3.52,29.052,3.491,1,,,,,,
12/12/2017,4:07,3.52,29.078,3.637,1,,,,,,
12/12/2017,4:17,3.52,29.164,3.781,0.999,,,,,,
12/12/2017,4:27,3.52,29.138,3.548,0.999,,,,,,
12/12/2017,4:37,3.52,29.19,3.665,1,,,,,,
12/12/2017,4:47,3.52,29.215,3.698,0.999,,,,,,
12/12/2017,4:57,3.52,29.104,3.653,1,,,,,,
12/12/2017,5:07,3.52,29.181,3.502,1.001,,,,,,
12/12/2017,5:17,3.52,29.233,3.619,1,,,,,,
12/12/2017,5:27,3.52,29.241,3.615,1,,,,,,
12/12/2017,5:37,3.52,29.327,3.429,1,,,,,,
12/12/2017,5:47,3.52,29.198,3.534,0.999,,,,,,
12/12/2017,5:57,3.52,29.448,3.554,1,,,,,,
12/12/2017,6:07,3.52,29.482,3.514,1.001,,,,,,
